IP LinLin
DP 0.016044019 87
DP 0.048044020 101
DP 0.080044022 84
DP 0.11204402 90
DP 0.14404402 72
DP 0.17604403 113
DP 0.20804402 68
DP 0.24004403 92
DP 0.27204403 90
DP 0.30404404 89
DP 0.33604404 79
DP 0.36804405 82
DP 0.40004402 84
DP 0.43204403 133
DP 0.46404403 89
DP 0.49604404 85
DP 0.52804404 230
DP 0.56004405 414
DP 0.59204405 373
DP 0.62404406 217
DP 0.65604406 404
DP 0.68804407 327
DP 0.72004407 271
DP 0.75204408 157
DP 0.78404403 87
DP 0.81604403 225
DP 0.84804404 110
DP 0.88004404 91
DP 0.91204405 102
DP 0.94404405 94
DP 0.97604406 101
DP 1.0080441 28
