IP LIN
DP 150 0.030726792
DP 160 0.029205364
DP 170 0.027840874
DP 180 0.026609220
DP 190 0.025491081
DP 200 0.024470786
DP 210 0.023535472
DP 220 0.022674478
DP 230 0.021878894
DP 240 0.021141206
DP 250 0.020455032
DP 260 0.019814910
DP 270 0.019216143
DP 280 0.018654665
DP 290 0.018126938
DP 300 0.017629864
DP 310 0.017160723
DP 320 0.016717114
DP 330 0.016296911
DP 340 0.015898220
DP 350 0.015519353
DP 360 0.015158796
DP 370 0.014815191
DP 380 0.014487312
DP 390 0.014174051
DP 400 0.013874406
DP 410 0.013587465
DP 420 0.013312400
DP 430 0.013048449
DP 440 0.012794923
DP 450 0.012551186
DP 460 0.012316653
DP 470 0.012090790
DP 480 0.011873098
DP 490 0.011663124
DP 500 0.011460443
DP 510 0.011264663
DP 520 0.011075422
DP 530 0.010892381
DP 540 0.010715227
DP 550 0.010543666
DP 560 0.010377424
DP 570 0.010216247
DP 580 0.010059896
DP 590 0.0099081466
DP 600 0.0097607896
DP 610 0.0096176278
DP 620 0.0094784757
DP 630 0.0093431606
DP 640 0.0092115179
DP 650 0.0090833933
DP 660 0.0089586411
DP 670 0.0088371233
DP 680 0.0087187111
DP 690 0.0086032810
DP 700 0.0084907167
DP 710 0.0083809080
DP 720 0.0082737500
DP 730 0.0081691444
DP 740 0.0080669968
DP 750 0.0079672176
DP 760 0.0078697220
DP 770 0.0077744284
DP 780 0.0076812609
DP 790 0.0075901455
DP 800 0.0075010124
DP 810 0.0074137945
DP 820 0.0073284284
DP 830 0.0072448541
DP 840 0.0071630128
DP 850 0.0070828481
DP 860 0.0070043077
DP 870 0.0069273407
DP 880 0.0068518991
DP 890 0.0067779355
DP 900 0.0067054046
DP 910 0.0066342641
DP 920 0.0065644736
DP 930 0.0064959922
DP 940 0.0064287828
DP 950 0.0063628094
DP 960 0.0062980358
DP 970 0.0062344296
DP 980 0.0061719571
DP 990 0.0061105879
DP 1000 0.0060502924
DP 1100 0.0055004894
DP 1200 0.0050318698
DP 1300 0.0046272967
DP 1400 0.0042742342
DP 1500 0.0039632858
DP 1600 0.0036872563
DP 1700 0.0034405361
DP 1800 0.0032186811
DP 1900 0.0030181205
DP 2000 0.0028359515
DP 2100 0.0026697854
DP 2200 0.0025176379
DP 2300 0.0023778467
DP 2400 0.0022490071
DP 2500 0.0021299223
DP 2600 0.0020195670
DP 2700 0.0019170565
DP 2800 0.0018216238
DP 2900 0.0017325997
DP 3000 0.0016493974
DP 3100 0.0015715002
DP 3200 0.0014984516
DP 3300 0.0014298460
DP 3400 0.0013653217
DP 3500 0.0013045558
DP 3600 0.0012472580
DP 3700 0.0011931674
DP 3800 0.0011420484
DP 3900 0.0010936874
DP 4000 0.0010478912
DP 4100 0.0010044833
DP 4200 0.00096330370
DP 4300 0.00092420493
DP 4400 0.00088705312
DP 4500 0.00085172473
DP 4600 0.00081810623
DP 4700 0.00078609362
DP 4800 0.00075558994
DP 4900 0.00072650657
DP 5000 0.00069876092
DP 5100 0.00067227659
DP 5200 0.00064698252
DP 5300 0.00062281299
DP 5400 0.00059970650
DP 5500 0.00057760583
DP 5600 0.00055645759
DP 5700 0.00053621182
DP 5800 0.00051682205
DP 5900 0.00049824452
DP 6000 0.00048043829
DP 6100 0.00046336495
DP 6200 0.00044698837
DP 6300 0.00043127481
DP 6400 0.00041619229
DP 6500 0.00040171080
DP 6600 0.00038780203
DP 6700 0.00037443925
DP 6800 0.00036159739
DP 6900 0.00034925261
DP 7000 0.00033740555
DP 7100 0.00032611254
DP 7200 0.00031534757
DP 7300 0.00030507922
DP 7400 0.00029527819
DP 7500 0.00028591733
DP 7600 0.00027697139
DP 7700 0.00026841682
DP 7800 0.00026023185
DP 7900 0.00025239601
DP 8000 0.00024489028
DP 8100 0.00023769685
DP 8200 0.00023079913
DP 8300 0.00022418165
DP 8400 0.00021782979
DP 8500 0.00021172985
DP 8600 0.00020586911
DP 8700 0.00020023556
DP 8800 0.00019481800
DP 8900 0.00018960576
DP 9000 0.00018458886
DP 9100 0.00017975796
DP 9200 0.00017510427
DP 9300 0.00017061940
DP 9400 0.00016629554
DP 9500 0.00016212532
DP 9600 0.00015810169
DP 9700 0.00015421811
DP 9800 0.00015046826
DP 9900 0.00014684629
DP 10000 0.00014334664
DP 11000 0.00011403680
DP 12000 9.2544894e-05
DP 13000 7.6370122e-05
DP 14000 6.3926396e-05
DP 15000 5.4171201e-05
DP 16000 4.6398027e-05
DP 17000 4.0115300e-05
DP 18000 3.4973049e-05
DP 19000 3.0716999e-05
DP 20000 2.7159107e-05
DP 21000 2.4158013e-05
DP 22000 2.1605932e-05
DP 23000 1.9419613e-05
DP 24000 1.7533978e-05
DP 25000 1.5897596e-05
DP 26000 1.4469431e-05
DP 27000 1.3216438e-05
DP 28000 1.2111784e-05
DP 29000 1.1133513e-05
DP 30000 1.0263523e-05
